,env,seed,scobi-reward,1,3,5,10,15,20,25,30
0,PongDeterministic-v4,0,False,93.0,8774.0,11603.0,20862.0,39793.0,43851.0,52883.0,56693.0
1,PongDeterministic-v4,1,False,1467.0,6233.0,18129.0,25723.0,31792.0,43719.0,53296.0,80434.0
2,PongDeterministic-v4,2,False,1217.0,5491.0,9663.0,14269.0,21353.0,26910.0,50127.0,89849.0
3,PongDeterministic-v4,3,False,730.0,3650.0,5052.0,9961.0,15488.0,17950.0,39760.0,44856.0
4,PongDeterministic-v4,4,False,3368.0,5455.0,6008.0,30555.0,36519.0,49455.0,55971.0,73653.0
5,PongDeterministic-v4,mean,False,1375.0,5920.6,10091.0,20274.0,28989.0,36377.0,50407.4,69097.0
6,PongDeterministic-v4,0,True,1392.0,3324.0,4515.0,8764.0,13494.0,15942.0,18416.0,19311.0
7,PongDeterministic-v4,1,True,1777.0,3590.0,5933.0,7611.0,10130.0,14036.0,17494.0,19918.0
8,PongDeterministic-v4,2,True,2459.0,4555.0,6031.0,11965.0,14374.0,15690.0,19504.0,26592.0
9,PongDeterministic-v4,3,True,190.0,3026.0,4861.0,8600.0,13809.0,22025.0,25710.0,30004.0
10,PongDeterministic-v4,4,True,1424.0,3794.0,14764.0,16851.0,33842.0,35739.0,39297.0,47491.0
11,PongDeterministic-v4,mean,True,1448.4,3657.8,7220.8,10758.2,17129.8,20686.4,24084.2,28663.2
